                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2012,                 4.4878,                 4.0396,                  6e-05,                0.02206,                  6e-05,                  1e-05,                 4.0907,                 4.4109,                 3.7465,               0.070612,              0.0032653,              0.0032653
                      2,                 3.5158,                 3.6871,                 3.4341,                0.59944,                0.06286,                0.06073,                 0.0218,                 3.3811,                 3.8567,                 3.5248,                0.04058,               0.006566,               0.006566
                      3,                 2.9089,                 3.2023,                 2.8233,                0.81226,                0.06286,                0.05931,                0.01659,                 2.6006,                 5.6568,                 2.8328,               0.010514,              0.0098336,              0.0098336
                      4,                 2.5869,                  2.738,                 2.4228,                0.41684,                0.05791,                  0.041,                0.01464,                 2.7559,                 6.0119,                 2.9157,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3883,                 2.4216,                 2.1778,                0.80805,                0.19459,                0.23911,                 0.1049,                 2.0479,                    4.6,                 2.1447,               0.009802,               0.009802,               0.009802
                      6,                 2.2469,                 2.1573,                 1.9898,                0.60828,                0.24934,                0.24575,                0.10512,                 2.0679,                 2.6114,                 2.1069,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1385,                 1.9352,                 1.8594,                0.38956,                0.34651,                0.32325,                0.15325,                 1.9721,                 2.5164,                 2.0206,               0.009703,               0.009703,               0.009703
                      8,                 2.0281,                 1.7684,                 1.7558,                0.67267,                0.36874,                0.40592,                0.19394,                 1.8991,                 1.9362,                 1.9382,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9854,                 1.6613,                 1.6994,                0.70306,                0.30524,                0.33801,                0.15862,                 1.9012,                 2.1418,                 1.9305,               0.009604,               0.009604,               0.009604
                     10,                 1.9445,                 1.5581,                 1.6696,                0.85747,                0.21871,                0.32338,                0.15682,                 2.2074,                 2.4987,                 2.1363,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8728,                 1.4574,                 1.6128,                0.71245,                 0.4623,                0.50557,                 0.2652,                 1.7366,                 2.0629,                  1.767,               0.009505,               0.009505,               0.009505
                     12,                 1.8416,                 1.3968,                 1.5846,                0.80816,                0.50176,                0.56179,                 0.3018,                 1.7525,                 1.4565,                 1.7549,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7839,                 1.3498,                 1.5324,                 0.7807,                0.48886,                0.53909,                0.29571,                 1.7242,                 1.6291,                 1.7572,               0.009406,               0.009406,               0.009406
                     14,                  1.768,                 1.3115,                 1.5525,                0.86773,                0.51096,                0.59899,                  0.333,                 1.7148,                 1.4385,                 1.7391,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7306,                 1.2801,                  1.523,                0.50976,                0.49987,                0.48073,                0.24774,                  1.641,                 1.6998,                 1.6882,               0.009307,               0.009307,               0.009307
                     16,                 1.7084,                 1.2532,                 1.4783,                0.83433,                0.59668,                0.62533,                0.35421,                  1.589,                 1.2498,                  1.653,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6751,                 1.2043,                 1.5035,                 0.8417,                 0.5565,                0.62814,                0.35779,                  1.489,                 1.3796,                 1.5808,               0.009208,               0.009208,               0.009208
                     18,                  1.634,                 1.1527,                 1.4549,                0.82356,                 0.5676,                0.58666,                0.32384,                 1.6116,                 1.2808,                 1.6363,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.5912,                 1.0901,                 1.3989,                0.84253,                0.57882,                0.63028,                 0.3585,                 1.5751,                 1.2714,                 1.6038,               0.009109,               0.009109,               0.009109
                     20,                 1.6094,                 1.0818,                 1.4195,                0.58091,                0.64349,                0.65007,                0.38975,                 1.4272,                 1.0653,                  1.543,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.5747,                 1.0492,                   1.39,                0.86428,                0.55319,                0.62258,                0.35554,                 1.4842,                 1.2105,                 1.5309,                0.00901,                0.00901,                0.00901
                     22,                 1.5178,                 1.0007,                  1.354,                0.65198,                0.63331,                0.64357,                0.36674,                 1.4902,                  1.138,                 1.5517,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.5301,                  1.027,                 1.3609,                0.63913,                0.67034,                0.64103,                0.38813,                 1.4452,                 1.0592,                 1.5079,               0.008911,               0.008911,               0.008911
                     24,                 1.5441,                 1.0017,                 1.3501,                0.65777,                 0.6744,                0.68415,                0.40336,                 1.3864,                 1.0155,                 1.4767,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5171,                0.96363,                 1.3307,                0.88463,                0.57831,                0.65488,                0.37075,                 1.4953,                 1.0188,                 1.5591,               0.008812,               0.008812,               0.008812
                     26,                 1.4805,                0.95377,                 1.3249,                0.68182,                0.69381,                0.68967,                 0.4386,                 1.3273,                 1.0907,                 1.4329,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.4577,                 0.9188,                 1.2958,                0.76958,                0.63455,                0.71346,                0.45268,                 1.3542,                0.91636,                 1.4533,               0.008713,               0.008713,               0.008713
                     28,                 1.4148,                0.88328,                 1.2868,                0.94562,                0.59281,                0.69902,                0.43505,                 1.2846,                0.88361,                 1.4201,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.4299,                0.90344,                 1.2924,                0.62815,                0.74521,                0.71862,                0.44266,                 1.3472,                0.91055,                 1.4475,               0.008614,               0.008614,               0.008614
                     30,                 1.4086,                 0.8795,                 1.2755,                0.93369,                0.59002,                0.69152,                0.44743,                 1.3378,                 1.0712,                 1.4272,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.4101,                0.88106,                 1.2697,                 0.7162,                0.71773,                0.70802,                0.45853,                  1.299,                0.91986,                 1.4014,               0.008515,               0.008515,               0.008515
                     32,                 1.3849,                0.87486,                 1.2621,                0.69849,                0.71783,                0.70603,                 0.4511,                 1.2956,                0.87788,                 1.3966,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.3592,                0.82995,                 1.2417,                0.93929,                0.62212,                 0.7031,                0.44556,                 1.3392,                0.88957,                 1.4695,               0.008416,               0.008416,               0.008416
                     34,                 1.3808,                0.85393,                 1.2635,                0.73107,                0.68966,                0.72929,                0.46241,                 1.3516,                0.88699,                 1.4428,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.3461,                0.82734,                 1.2576,                0.64531,                 0.7734,                0.71781,                0.44819,                 1.3692,                0.85634,                 1.4693,               0.008317,               0.008317,               0.008317
                     36,                 1.3637,                0.81746,                 1.2411,                0.67648,                0.71764,                0.73758,                0.46993,                 1.2817,                0.78346,                 1.3937,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3429,                0.80948,                 1.2547,                0.72121,                0.71352,                0.76006,                0.48049,                 1.2873,                0.81347,                 1.4114,               0.008218,               0.008218,               0.008218
                     38,                 1.3282,                0.80282,                 1.2233,                0.66231,                0.76597,                0.74419,                0.47639,                 1.3029,                0.80868,                  1.396,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3189,                0.79117,                 1.2307,                0.74339,                0.75131,                0.74496,                0.48764,                 1.2927,                0.83965,                 1.3871,               0.008119,               0.008119,               0.008119
                     40,                 1.3026,                0.78777,                 1.2363,                0.68518,                0.80298,                0.76152,                0.48197,                 1.3068,                0.79287,                  1.386,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3118,                0.77215,                 1.2143,                0.77472,                0.74241,                0.76132,                0.48205,                 1.2299,                0.75544,                 1.3555,                0.00802,                0.00802,                0.00802
                     42,                 1.3222,                0.79568,                 1.2225,                0.66969,                0.76983,                0.75174,                0.49029,                 1.2461,                0.75774,                 1.3735,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.2656,                0.76115,                 1.2092,                0.66787,                0.75021,                0.76137,                 0.5035,                 1.2159,                0.74663,                 1.3495,               0.007921,               0.007921,               0.007921
                     44,                  1.271,                0.75065,                 1.1949,                0.76542,                0.80326,                0.76072,                 0.5085,                 1.2475,                0.78813,                 1.3626,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.2883,                0.74528,                 1.1981,                0.68128,                0.82658,                0.77413,                0.50225,                 1.2103,                0.78625,                 1.3438,               0.007822,               0.007822,               0.007822
                     46,                 1.2658,                 0.7273,                 1.2081,                0.74194,                0.79386,                0.79206,                0.51245,                 1.2146,                0.77961,                 1.3448,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2631,                0.73284,                 1.1964,                0.73585,                0.75333,                0.79261,                0.52156,                 1.1609,                0.70619,                 1.2977,               0.007723,               0.007723,               0.007723
                     48,                 1.2473,                0.72079,                 1.1886,                 0.6812,                0.76521,                  0.768,                0.50692,                 1.1737,                0.73673,                 1.3121,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.2457,                0.71777,                 1.1846,                0.79708,                0.73401,                0.76719,                0.49302,                 1.2042,                0.78244,                 1.3349,               0.007624,               0.007624,               0.007624
                     50,                 1.2484,                0.70839,                 1.1697,                0.73458,                 0.7468,                 0.7747,                0.50461,                 1.2552,                0.72934,                 1.3852,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.2471,                0.72328,                 1.1959,                  0.737,                0.77183,                0.78213,                0.50557,                 1.2082,                0.69679,                 1.3303,               0.007525,               0.007525,               0.007525
                     52,                 1.2275,                0.70986,                 1.1822,                0.76894,                0.75884,                0.79994,                0.52721,                 1.2149,                0.69279,                 1.3245,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.2626,                 0.7147,                 1.1825,                0.78882,                0.79988,                0.79669,                0.51941,                 1.1906,                0.72631,                  1.326,               0.007426,               0.007426,               0.007426
                     54,                 1.2227,                0.70528,                 1.1646,                0.73042,                0.81731,                 0.7682,                 0.4733,                 1.3277,                0.77971,                 1.3963,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.2138,                0.70053,                 1.1831,                0.77682,                0.82273,                0.80769,                0.52252,                 1.1735,                 0.6712,                 1.3133,               0.007327,               0.007327,               0.007327
                     56,                 1.2115,                0.68675,                 1.1569,                0.73635,                0.81074,                0.79965,                0.52069,                 1.2452,                0.69795,                 1.3689,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.2088,                0.68636,                 1.1466,                0.81627,                 0.7556,                0.81788,                0.52359,                 1.2119,                0.71797,                 1.3333,               0.007228,               0.007228,               0.007228
                     58,                 1.2281,                0.68739,                 1.1689,                0.78011,                0.84093,                0.79225,                0.52339,                 1.1417,                0.73188,                 1.2844,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.2023,                0.68173,                 1.1619,                0.77162,                 0.8157,                0.78436,                0.52001,                 1.2021,                0.70701,                 1.3375,               0.007129,               0.007129,               0.007129
                     60,                 1.2121,                0.68678,                  1.164,                 0.7752,                0.79669,                0.79716,                0.52232,                 1.2082,                0.69115,                 1.3324,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.2101,                0.68021,                 1.1582,                0.77642,                0.79376,                0.78692,                0.51533,                 1.2004,                0.72143,                 1.3178,                0.00703,                0.00703,                0.00703
                     62,                 1.1961,                0.66572,                 1.1497,                 0.8191,                0.79623,                0.82924,                0.56071,                 1.0943,                0.63828,                 1.2555,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1826,                0.64652,                 1.1401,                0.80052,                0.80157,                0.80986,                0.54429,                  1.112,                0.65292,                  1.261,               0.006931,               0.006931,               0.006931
                     64,                 1.1552,                0.63953,                 1.1516,                0.78073,                0.84458,                0.79664,                0.53153,                 1.1414,                0.63823,                 1.2895,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.1986,                  0.665,                  1.157,                0.80958,                0.80769,                 0.8348,                0.55049,                 1.1511,                0.64205,                 1.2849,               0.006832,               0.006832,               0.006832
                     66,                 1.1857,                0.65298,                 1.1332,                0.79305,                0.83342,                0.84236,                0.55272,                 1.1367,                0.67031,                 1.2978,              0.0067825,              0.0067825,              0.0067825
                     67,                  1.187,                0.66787,                 1.1596,                 0.8538,                 0.7678,                 0.8099,                0.52753,                 1.1614,                0.63984,                 1.2939,               0.006733,               0.006733,               0.006733
                     68,                 1.1508,                 0.6324,                 1.1324,                0.84448,                0.82518,                0.84513,                0.54511,                 1.1573,                0.64503,                 1.3052,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.1741,                0.64565,                  1.137,                0.80842,                0.77931,                0.80941,                0.55751,                 1.1161,                0.60373,                  1.271,               0.006634,               0.006634,               0.006634
                     70,                  1.155,                0.63642,                 1.1461,                0.79317,                0.78271,                0.80046,                0.53869,                 1.1543,                0.64664,                 1.2902,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.1424,                0.61765,                 1.1191,                0.82091,                0.80432,                0.79789,                0.54142,                 1.1422,                 0.6344,                 1.2735,               0.006535,               0.006535,               0.006535
                     72,                 1.1646,                0.64035,                 1.1229,                0.77447,                0.80566,                 0.7971,                0.54222,                 1.1418,                0.63765,                 1.2867,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.1383,                0.61775,                  1.124,                0.82382,                0.81382,                0.82178,                0.54484,                 1.1518,                0.62991,                 1.2954,               0.006436,               0.006436,               0.006436
                     74,                 1.1637,                0.63109,                  1.126,                0.81217,                0.81127,                0.83892,                0.56222,                 1.0884,                0.59626,                 1.2489,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.1458,                0.62066,                 1.1279,                0.82998,                0.81833,                0.84232,                0.55819,                 1.0921,                0.61812,                 1.2453,               0.006337,               0.006337,               0.006337
                     76,                 1.1557,                0.63443,                  1.143,                0.77144,                0.76844,                0.80656,                0.53005,                 1.1253,                0.62234,                 1.2768,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.1324,                0.62285,                 1.1177,                0.86749,                0.79133,                0.83099,                0.54821,                 1.0976,                0.63702,                 1.2546,               0.006238,               0.006238,               0.006238
                     78,                 1.1258,                0.61241,                 1.1156,                0.87565,                0.79954,                0.82737,                0.54164,                 1.1447,                0.60957,                 1.2821,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.1432,                0.61769,                 1.1274,                0.84915,                0.80274,                0.82519,                0.53888,                  1.166,                0.63625,                 1.2841,               0.006139,               0.006139,               0.006139
                     80,                 1.1501,                0.61056,                 1.0999,                0.87673,                0.80029,                0.86015,                0.56624,                 1.0955,                0.59678,                 1.2663,              0.0060895,              0.0060895,              0.0060895
                     81,                   1.13,                0.59996,                  1.115,                0.82111,                0.82754,                 0.8447,                0.55779,                 1.0833,                0.60536,                 1.2441,                0.00604,                0.00604,                0.00604
                     82,                 1.1044,                0.58823,                 1.1023,                0.81505,                0.82813,                0.84407,                0.56248,                 1.1323,                0.58874,                 1.2755,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.1254,                0.59091,                 1.0996,                0.86515,                0.84311,                0.84932,                0.56385,                 1.1114,                0.61051,                 1.2669,               0.005941,               0.005941,               0.005941
                     84,                 1.1258,                0.60321,                 1.1076,                0.83046,                 0.8328,                0.83412,                0.55535,                 1.1039,                0.58782,                 1.2549,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.1227,                0.60698,                 1.1143,                0.86107,                0.82055,                0.86332,                0.57186,                 1.0686,                0.58374,                 1.2324,               0.005842,               0.005842,               0.005842
                     86,                 1.1016,                0.58637,                 1.0964,                0.88792,                0.81829,                0.85871,                0.58038,                  1.087,                0.61091,                 1.2449,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.1042,                0.58206,                 1.0904,                0.82041,                0.80964,                0.82008,                0.56372,                 1.0981,                0.63019,                 1.2626,               0.005743,               0.005743,               0.005743
                     88,                 1.1269,                0.59233,                 1.1025,                0.91544,                0.85469,                0.86977,                0.57179,                 1.0842,                 0.6055,                 1.2476,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.1034,                0.59317,                 1.0995,                0.90528,                0.83001,                0.86634,                 0.5693,                 1.0687,                0.60343,                 1.2366,               0.005644,               0.005644,               0.005644
                     90,                 1.1063,                0.58928,                 1.1065,                0.85566,                0.85558,                0.86756,                0.57369,                 1.0821,                 0.5609,                 1.2399,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.1054,                0.59546,                 1.0955,                 0.8241,                0.86138,                0.86893,                 0.5766,                 1.0747,                0.56859,                 1.2387,               0.005545,               0.005545,               0.005545
                     92,                 1.0971,                0.59032,                 1.0947,                0.85496,                0.82278,                0.86531,                0.57511,                 1.0781,                0.57272,                   1.25,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.0892,                0.58171,                 1.1007,                0.87962,                 0.8843,                0.89663,                 0.5831,                  1.081,                0.54834,                 1.2412,               0.005446,               0.005446,               0.005446
                     94,                 1.0782,                 0.5733,                 1.0945,                0.84628,                0.90015,                0.88123,                0.57438,                 1.0571,                0.55276,                 1.2225,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.0741,                0.57134,                 1.0849,                0.90351,                0.87596,                0.89554,                0.58573,                 1.0597,                0.56043,                 1.2303,               0.005347,               0.005347,               0.005347
                     96,                 1.0922,                0.58341,                 1.0952,                0.87318,                0.85676,                0.87135,                0.57715,                 1.0813,                0.54747,                 1.2437,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.1152,                0.59601,                 1.1011,                0.85281,                0.85076,                0.87999,                0.57944,                   1.08,                0.57395,                 1.2373,               0.005248,               0.005248,               0.005248
                     98,                 1.0913,                0.58088,                 1.0903,                0.82512,                0.87365,                0.86059,                0.57787,                 1.0548,                0.55076,                 1.2327,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.0781,                0.57058,                 1.0917,                0.79262,                0.82867,                0.84535,                0.57499,                  1.041,                0.55622,                 1.2179,               0.005149,               0.005149,               0.005149
